CODE,SL,সব্জি [VEGETABLES],UNIT,PRICE,UNIT,PRICE,,,,,,,,
AL,1,আলু [ALU] Potato,KG,,KG,,,,,,,,,
PO,2,পটল [POTOL] Pointed Gourd,KG,,,,,,,,,,,
BA,3,বরবটি [BORBOTI] Long beans,KG,,,,,,,,,,,
BG,4,বেগুন [BEGUN] Brinjal,KG,60,,,,,,,,,,
BT,5,বীট [BEET] Beetroot,KG,,,,,,,,,,,
BN,6,বীনস [BEANS] Beans,KG,,,,,,,,,,,
CH,7,চিচিঙ্গা [CHICHINGA] Snake Gourd,KG,40,,,,,,,,,,
CK,8,চাল কুমড়ো [CHAL KUMRO] Ash gourd,KG,25,,,,,,,,,,
DH,9,ঢেঁড়শ [DHENROS] Ladies finger,KG,50,,,,,,,,,,
EN,10,এঁচোড় [ENCHOR] Jackfruit raw,KG,,,,,,,,,,,
JH,11,ঝিঙে [JHINGE] Ridge gourd,KG,50,,,,,,,,,,
KA,12,কাঁচ কলা [KANCH KALA] Plantain,PIECE,,PIECE,,,,,,,,,
KO,13,কচু [KOCHU] ,KG,50,,,,,,,,,,
PK,14,পেঁপে কাঁচা [KANCHA PENPE] Green papaya,KG,60,,,,,,,,,,
KR,15,করলা [KOROLA] Bitter melon,KG,70,,,,,,,,,,
KU,16,কুমড়ো [KUMRO] Pumpkin,KG,40,,,,,,,,,,
KD,17,কুঁদলি [KUNDLI],KG,40,,,,,,,,,,
LA,18,লাউ  [LAU] Calabash,KG,30,,,,,,,,,,
MO,19,মোচা [MOCHA] Banana flower,PIECE,,,,,,,,,,,
MS,20,মটর শুঁটি [MOTOR SHUNTI] Peas,KG,,,,,,,,,,,
MU,21,মূলা [MULA] Radish,KG,,,,,,,,,,,
OK,22,ওল কপি  [OL KOPI] Kohlrabi,KG,,,,,,,,,,,
OL,23,ওল [OL] Elephant foot yam,KG,60,,,,,,,,,,
RA,24,রাঙা আলু  [RANGA ALU] Sweet potato,KG,,,,,,,,,,,
SD,25,সজনে ডাঁটা [SAJNE DANTA] Drum stick,KG,,,,,,,,,,,
